60,2500,2500,1,0.006235879,0.005365465,304305856,300875904,304994720,313883136,330686816,358034304,389180672,235794416,230096368,173895936
,,,,,,,,,,,,,,,
60,3000,2500,1,0.006262744,0.004542945,306129984,302156224,305010752,312092096,325348544,348158080,375432896,231610160,234915584,187118400
,,,,,,,,,,,,,,,
60,3500,2500,1,0.005526838,0.003773352,307287136,302512960,304050720,309599552,319878496,338283520,361987488,235562096,245913344,210510736
,,,,,,,,,,,,,,,
60,4000,2500,1,0.004995414,0.00388014,307705664,302161440,302313344,306198496,314302752,329297344,350770912,245524544,257312288,233917648
,,,,,,,,,,,,,,,
70,2000,2500,1,0.007343263,0.005741333,293063072,296559456,308028800,321328448,340841024,369275904,413224000,274845664,249716400,201243408
,,,,,,,,,,,,,,,
70,2500,2500,1,0.006816956,0.005110058,300011616,299983616,307218400,317712896,334444480,361014912,398657536,253988016,243427600,194591136
,,,,,,,,,,,,,,,
70,3000,2500,1,0.006083364,0.004708444,303133280,301641088,306386880,314363104,327489024,349850976,382274016,247308768,245848400,203784720
,,,,,,,,,,,,,,,
70,3500,2500,1,0.004696526,0.004257767,304658624,302376960,305693152,311810400,322168768,340296736,369248448,253837040,253756896,220793456
,,,,,,,,,,,,,,,
70,4000,2500,1,0.005530073,0.003870641,306057280,302557632,304043808,308218880,315962336,329893376,354480320,266004864,262842528,241533056
,,,,,,,,,,,,,,,
80,2000,2500,1,0.007454093,0.005835448,282483456,290059680,305472832,319941952,337917728,362272256,406384768,295501280,256149920,215202080
,,,,,,,,,,,,,,,
80,2500,2500,1,0.006584963,0.004570288,294708992,297325728,307039360,318471648,334380320,358546816,399378624,273469824,253024736,210790880
,,,,,,,,,,,,,,,
80,3000,2500,1,0.006190159,0.004609186,299315328,299825024,306362112,315022208,327768960,348307584,384137120,267082400,254846800,218135872
,,,,,,,,,,,,,,,
80,3500,2500,1,0.005657725,0.003952953,302029312,301127136,305220224,311046048,320258016,335648064,365174976,274704000,261385856,235024560
,,,,,,,,,,,,,,,
